Dex Number,Pokemon Name,Primary Type,Secondary Type,Egg Groups,Spawn ID,Biomes,Anti-Biomes,Structures,Anti-Structures,Time,Weather,Moon Phase,Anti-Moon Phase,Presets,Weight,Bucket,Sky,Context,Source File
506,Lillipup,normal,,field,lillipup-1,Overworld,Desert,,,Any,Any,,,"natural, urban",5.4,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
506,Lillipup,normal,,field,lillipup-2,Overworld,Desert,,,Any,Any,,,"natural, village",5.4,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
748,Toxapex,poison,water,water_1,toxapex-1,Beach,,,,Any,Any,,,natural,1,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
748,Toxapex,poison,water,water_1,toxapex-2,Warm Ocean,,,,Any,Any,,,underwater,1,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
208,Steelix,steel,ground,mineral,steelix-1,Overworld,Deep Dark,,,Any,Any,,,natural,0.6,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
208,Steelix,steel,ground,mineral,steelix-2,Nether/ Basalt,,,,Any,Any,,,natural,0.2,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
1017,Ogerpon,grass,,undiscovered,ogerpon-1,Lush,,,,Any,Any,,,,5.0,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
367,Huntail,water,,water_1,huntail-1,Deep Ocean,,,,Any,Any,,,underwater,0.5,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
367,Huntail,water,,water_1,huntail-2,Warm Ocean,,,,Any,Any,,,underwater,0.5,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
974,Cetoddle,ice,,field,cetoddle-1,Frozen Ocean,,,,Any,Any,,,"natural, wild",5.4,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
974,Cetoddle,ice,,field,cetoddle-2,"Glacial, Tundra",,,,Any,Any,,,"natural, wild",9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
362,Glalie,ice,,"fairy, mineral",glalie-1,Freezing,,,,Any,Any,,,natural,2.0,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
62,Poliwrath,water,fighting,water_1,poliwrath-1,,,,,Any,Rain,,,"natural, freshwater",0.05,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
62,Poliwrath,water,fighting,water_1,poliwrath-2,,,,,Any,Any,,,"freshwater, underwater",0.05,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
62,Poliwrath,water,fighting,water_1,poliwrath-3,Lush,,,,Any,Any,,,natural,0.01,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
62,Poliwrath,water,fighting,water_1,poliwrath-4,Lush,,,,Any,Any,,,underwater,0.03,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
847,Barraskewda,water,,water_2,barraskewda-1,"Ocean, Mangrove Swamp",Freezing,,,Any,Any,,,underwater,0.2,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
104,Cubone,ground,,monster,cubone-1,Sandy,,,,Any,Any,,,"natural, wild",1.8,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
104,Cubone,ground,,monster,cubone-2,Volcanic,,,,Any,Any,,,"natural, wild",1.8,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
104,Cubone,ground,,monster,cubone-3,"Nether/ Desert, Nether/ Soul Fire",,,,Any,Any,,,"natural, wild",5.4,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
973,Flamigo,flying,fighting,flying,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
1005,Roaringmoon,dragon,dark,undiscovered,roaringmoon-1,Mountain,,,,Any,Any,,,,1.0,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
840,Applin,grass,dragon,"grass, dragon",applin-1,Forest,,,,Any,Any,,,,6.8,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
675,Pangoro,fighting,dark,"field, human_like",Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
3862,Deoxys-Defense,psychic,,undiscovered,Not Available,,,,,,,,,,,,,,BCG x AllTheMons 1.1.1.zip
900,Kleavor,bug,rock,bug,kleavor-1,"Forest, Hills","Freezing, Spooky",,,Any,Any,,,"natural, wild",0.2,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
311,Plusle,electric,,fairy,plusle-1,Plains,,,,Any,Any,,,natural,1.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
311,Plusle,electric,,fairy,plusle-2,Plains,,,,Any,Any,,,,30.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
875,Eiscue,ice,,"water_1, field",eiscue-1,Frozen Ocean,,,,Any,Any,,,natural,6.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
875,Eiscue,ice,,"water_1, field",eiscue-2,Frozen Ocean,,,,Any,Any,,,water_surface,6.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
183,Marill,water,fairy,"water_1, fairy",marill-1,River,,,,Any,Any,,,,6.8,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
857,Hattrem,psychic,,fairy,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
547,Whimsicott,grass,fairy,"fairy, grass",whimsicott-1,Plains,,,,Any,Clear,,,natural,0.6,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
449,Hippopotas,ground,,field,hippopotas-1,Desert,,,,Any,Any,,,"natural, wild",1.8,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
437,Bronzong,steel,psychic,mineral,bronzong-1,Spooky,,,,Any,Any,,,natural,1,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
437,Bronzong,steel,psychic,mineral,bronzong-2,Cave,,,,Any,Any,,,,1,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
437,Bronzong,steel,psychic,mineral,bronzong-3,Mountain,,,,Any,Any,,,natural,2,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
690,Skrelp,poison,water,"water_1, dragon",skrelp-1,Ocean,,,,Any,Any,,,underwater,1.8,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
42,Golbat,poison,flying,flying,golbat-1,"Forest, Swamp","Spooky, Freezing",,,Any,Clear,,,natural,0.18,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
42,Golbat,poison,flying,flying,golbat-3,"Forest, Swamp","Spooky, Freezing",,,Any,Any,,,natural,0.18,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
42,Golbat,poison,flying,flying,golbat-4,Overworld,"Deep Dark, Forest, Swamp",,,Any,Any,,,natural,0.9,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
42,Golbat,poison,flying,flying,golbat-5,Overworld,"Deep Dark, Forest, Swamp",,,Any,Any,,,derelict,0.9,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
42,Golbat,poison,flying,flying,golbat-6,Spooky,,,,Any,Clear,,,natural,0.9,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
42,Golbat,poison,flying,flying,golbat-8,Deep Dark,,,,Any,Any,,,natural,0.9,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
114,Tangela,grass,,grass,tangela-1,Jungle,,,,Any,Any,,,"natural, wild",1.8,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
218,Slugma,fire,,amorphous,slugma-1,"Nether/ Basalt, Nether/ Wasteland",,,,Any,Any,,,natural,5.4,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
218,Slugma,fire,,amorphous,slugma-2,"Nether, Volcanic",,,,Any,Any,,,lava_surface,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
218,Slugma,fire,,amorphous,slugma-3,Overworld,Volcanic,,,Any,Any,,,lava_surface,1.8,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
218,Slugma,fire,,amorphous,slugma-4,Volcanic,,,,Any,Any,,,natural,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
862,Obstagoon,dark,normal,field,obstagoon-1,Taiga,,,,Any,Any,,,"natural, wild",0.1,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
325,Spoink,psychic,,field,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
909,Fuecoco,fire,,field,fuecoco-1,Badlands,,,,Any,Any,,,natural,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
909,Fuecoco,fire,,field,fuecoco-2,Nether/ Wasteland,,,,Any,Any,,,natural,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
550,Basculin Striped=Blue,water,,water_2,basculin-blue-1,,,,,Any,Any,"2,3,4",,"freshwater, underwater",10.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
550,Basculin Striped=Blue,water,,water_2,basculin-blue-2,,,,,Any,Any,"6,7,8",,"freshwater, underwater",0.1,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
550,Basculin Striped=Blue,water,,water_2,basculin-blue-3,,,,,Any,Any,"1,5",,"freshwater, underwater",5.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
550,Basculin Striped=Red,water,,water_2,basculin-red-4,,,,,Any,Any,"6,7,8",,"freshwater, underwater",10.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
550,Basculin Striped=Red,water,,water_2,basculin-red-5,,,,,Any,Any,"2,3,4",,"freshwater, underwater",0.1,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
550,Basculin Striped=Red,water,,water_2,basculin-red-6,,,,,Any,Any,"1,5",,"freshwater, underwater",5.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
550,Basculin Striped=White,water,,water_2,basculin-white-7,,,,,Any,Any,"1,5",,"freshwater, underwater",0.09,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
637,Volcarona,bug,fire,bug,volcarona-1,Desert,,,,Any,Any,,,"natural, desert_pyramid",10.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
637,Volcarona,bug,fire,bug,volcarona-2,Jungle,,,,Any,Any,,,"natural, jungle_pyramid",10.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
637,Volcarona,bug,fire,bug,volcarona-3,"Nether/ Crimson, Nether/ Forest",,,,Any,Any,,,"natural, treetop",1.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
997,Arctibax,dragon,ice,"dragon, mineral",arctibax-1,Glacial,,,,Any,Any,,,natural,2.5,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
477,Dusknoir,ghost,,amorphous,dusknoir-1,Spooky,,,,Any,Any,,,natural,0.06,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
477,Dusknoir,ghost,,amorphous,dusknoir-3,Nether/ Soul Sand,,,,Any,Any,,,natural,0.1,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
963,Finizen,water,,"field, water_2",finizen-1,Lukewarm Ocean,,,,Any,Any,,,underwater,5.8,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
963,Finizen,water,,"field, water_2",finizen-2,Lukewarm Ocean,,,,Any,Any,,,ocean_ruins,5.8,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
304,Aron,steel,rock,monster,aron-1,Mountain,Deep Dark,,,Any,Any,,,"natural, wild",9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
304,Aron,steel,rock,monster,aron-2,Overworld,Deep Dark,,,Any,Any,,,natural,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
605,Elgyem,psychic,,human_like,elgyem-1,End,,,,Any,Any,,,natural,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
605,Elgyem,psychic,,human_like,elgyem-2,Overworld,,,,Any,Any,,,natural,9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
605,Elgyem,psychic,,human_like,elgyem-3,Howling Constructs,,,Sempiternal Sanctums,Any,Any,,,,5.4,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
56,Mankey,fighting,,field,mankey-1,"Hills, Jungle",,,,Any,Any,,,"natural, treetop",5.4,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
457,Lumineon,water,,water_2,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
809,Melmetal,steel,,undiscovered,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
321,Wailord,water,,"field, water_2",wailord-1,Deep Ocean,,,,Any,Any,,,underwater,0.2,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
146,Moltres,fire,flying,undiscovered,moltres,Badlands,,,,Any,Clear,,,natural,0.01,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
146,Moltres Galarian,fire,flying,undiscovered,moltres-galarian,Floral,,,,Any,Any,,,natural,0.01,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
908,Meowscarada,grass,dark,"field, grass",meowscarada-1,"Floral, Magical",,,,Any,Any,,,natural,0.1,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
908,Meowscarada,grass,dark,"field, grass",meowscarada-2,Nether/ Warped,Nether/ Desert,,,Any,Any,,,natural,0.1,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
881,Arctozolt,electric,ice,undiscovered,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
383,Groudon,ground,,undiscovered,groudon-1,"Badlands, Savanna",,,,Any,Clear,,,natural,0.5,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
1002,Chienpao,dark,ice,undiscovered,chienpao-1,"Freezing, Taiga, Tundra",,,,Any,Any,,,,5,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
856,Hatenna,psychic,,fairy,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
866,Mrrime,ice,psychic,human_like,mrrime-1,Freezing,,,,Any,Any,,,village,0.8,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
866,Mrrime,ice,psychic,human_like,mrrime-2,Freezing,,,,Any,Any,,,natural,0.8,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
196,Espeon,psychic,,field,espeon-1,Hills,,,,Any,Any,,,natural,1.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
196,Espeon,psychic,,field,espeon-2,Overworld,,,,Any,Any,,,"natural, urban",0.025,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
196,Espeon,psychic,,field,espeon-3,Overworld,,,,Any,Any,,,"natural, village",0.025,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
196,Espeon,psychic,,field,espeon-4,Overworld,,,,Any,Any,,,mansion,0.125,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
199,Slowking,water,psychic,"monster, water_1",slowking-1,Beach,,,,Any,Any,,,natural,0.06,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
910,Crocalor,fire,,field,crocalor-1,Badlands,,,,Any,Any,,,natural,0.9,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
910,Crocalor,fire,,field,crocalor-2,Nether/ Wasteland,,,,Any,Any,,,natural,0.9,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
52,Meowth,normal,,field,meowth-1,Overworld,"Arid, Freezing, Taiga",,Village,Any,Clear,,,"natural, urban",9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
52,Meowth,normal,,field,meowth-2,Overworld,"Arid, Freezing, Taiga",,,Any,Clear,,,"natural, village",9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
52,Meowth,normal,,field,meowth-3,Arid,,,Village,Any,Any,,,"natural, urban",9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
52,Meowth,normal,,field,meowth-4,Arid,,,,Any,Any,,,"natural, village",9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
52,Meowth Alolan,normal,,field,meowth-alolan-5,Overworld,"Arid, Freezing",,,Any,Clear,,,"natural, illager_structures",54.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
52,Meowth Alolan,normal,,field,meowth-alolan-6,"Arid, Freezing",,,,Any,Any,,,"natural, illager_structures",54.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
52,Meowth Alolan,normal,,field,meowth-alolan-7,Overworld,,,,Any,Any,,,illager_structures,54.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
52,Meowth Galarian,normal,,field,meowth-galarian-8,"Freezing, Taiga",,,Village,Any,Any,,,"natural, urban",9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
52,Meowth Galarian,normal,,field,meowth-galarian-9,"Freezing, Taiga",,,,Any,Any,,,"natural, village",9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
403,Shinx,electric,,field,shinx-1,"Desert, Savanna",,,,Any,Any,,,"natural, wild",9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
89,Muk,poison,,amorphous,muk-1,Swamp,,,,Any,Any,,,water_surface,0.2,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
89,Muk,poison,,amorphous,muk-2,Overworld,,,,Any,Any,,,"water_surface, urban",0.6,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
89,Muk,poison,,amorphous,muk-3,Overworld,,,,Any,Any,,,"water_surface, village",0.6,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
89,Muk,poison,,amorphous,muk-4,Nether/ Toxic,,,,Any,Any,,,natural,1.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
619,Mienfoo,fighting,,"field, human_like",Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
234,Stantler,normal,,field,stantler-1,"Snowy Forest, Snowy Taiga, Tundra",,,,Any,Any,,,"natural, wild",5.4,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
224,Octillery,water,,"water_1, water_2",Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
788,Tapufini,water,fairy,undiscovered,tapufini-1,"Forest, Jungle, Beach",,,,Any,Any,,,,0.2,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
335,Zangoose,normal,,field,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
225,Delibird,ice,flying,"water_1, field",delibird-1,Snowy Forest,,,,Any,Any,,,natural,5.0,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
536,Palpitoad,water,ground,water_1,palpitoad-1,River,,,,Any,Any,,,underwater,1.0,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
536,Palpitoad,water,ground,water_1,palpitoad-2,River,,,,Any,Any,,,natural,3.0,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
525,Boldore,rock,,mineral,boldore-1,Overworld,Deep Dark,,,Any,Any,,,natural,0.9,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
525,Boldore,rock,,mineral,boldore-2,Deep Dark,,,,Any,Any,,,natural,0.9,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
265,Wurmple,bug,,bug,Not Available,,,,,,,,,,,,,,Cobblemon-fabric-1.5.2+1.20.1.jar
614,Beartic,ice,,field,beartic-1,Frozen Ocean,,,,Any,Any,,,"natural, wild",0.2,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
302,Sableye,dark,ghost,human_like,sableye-1,Overworld,,,,Any,Any,,,"natural, gemstones",10.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
302,Sableye,dark,ghost,human_like,sableye-2,Deep Dark,,,,Any,Any,,,natural,10.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
302,Sableye,dark,ghost,human_like,sableye-3,"Crystal Canyon, Crystalline Chasm",,,Sempiternal Sanctums,Any,Any,,,,2.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
835,Yamper,electric,,field,yamper-1,Overworld,Freezing,,,Any,Any,,,"natural, urban",5.4,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
835,Yamper,electric,,field,yamper-2,Overworld,Freezing,,,Any,Any,,,"natural, village",5.4,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
570,Zorua,dark,,field,zorua-1,Forest,Freezing,,,Any,Any,,,"natural, wild",5.4,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
570,Zorua Hisuian,dark,,field,zorua-hisuian-1,"Snowy Forest, Snowy Taiga",,,,Any,Any,,,"natural, wild",5.4,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
570,Zorua Hisuian,dark,,field,zorua-hisuian-2,Nether,,,,Any,Any,,,"natural, nether_fossil",90.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
163,Hoothoot,normal,flying,flying,hoothoot-1,"Forest, Sky, Spooky",,,,Any,Any,,,"natural, treetop",9.0,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
1010,Ironleaves,grass,psychic,undiscovered,ironleaves-1,Floral,,,,Any,Any,,,,0.5,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
1010,Ironleaves,grass,psychic,undiscovered,ironleaves-2,End,,,,Any,Any,,,natural,0.5,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
1025,Pecharunt,poison,ghost,undiscovered,pecharunt-1,Spooky,,,,Any,Any,,,,3.0,,,,"BCG x AllTheMons 1.1.1.zip, Cobblemon-fabric-1.5.2+1.20.1.jar"
219,Magcargo,fire,rock,amorphous,magcargo-1,Nether/ Basalt,,,,Any,Any,,,natural,0.6,,,,"Cobblemon-fabric-1.5.2+1.20.1.jar, Cobblemon-fabric-1.5.2+1.20.1.jar"
